n_places;milliseconds;valid_transitions
13;1000.91;5
13;101.781;1
13;66.3748;0
13;98.3125;2
13;70.9868;0
13;72.4667;0
13;71.6964;0
13;74.2446;0
13;70.3376;0
13;65.6844;6
13;65.1358;2
13;92.983;6
13;60.1001;10
13;102.414;10
13;56.7918;5
13;75.9102;0
13;68.7468;0
13;68.6843;2
13;72.1562;0
13;71.0961;0
13;74.0414;0
13;55.966;11
13;643.519;2
13;82.802;4
13;67.8911;0
13;121.698;8
13;47.1379;9
13;222.797;7
13;72.7518;0
13;73.3205;0
13;101.693;9
13;200.702;1
13;68.5222;0
13;61.2168;7
13;49.0765;3
13;61.7934;23
13;56.3793;7
13;72.1689;0
13;154.715;6
13;701.168;1
13;254.994;0
13;71.2079;0
13;72.4471;0
13;185.299;10
13;483.702;1
13;60.7337;4
13;68.5674;0
13;52.9758;8
13;70.9292;0
13;71.0603;0
13;72.5671;0
13;65.6679;0
13;65.3177;0
13;112.461;5
13;635.552;0
13;72.3127;0
13;754.292;2
13;73.5839;0
13;372.596;2
13;88.4461;3
13;73.8459;0
13;2588.27;2
13;213.229;4
13;73.4715;0
13;69.7433;0
13;62.9866;2
13;321.292;3
13;292.291;5
13;319.475;4
13;59.684;3
13;72.0148;0
13;79.495;9
13;55.1162;16
13;58.005;1
13;70.54;0
13;85.0704;3
13;65.1671;7
13;74.0438;0
13;68.0055;28
13;70.3637;0
14;77.2023;0
14;4820.15;1
14;228.96;0
14;76.9782;0
14;72.4537;0
14;79.2751;12
14;502.42;1
14;127.086;2
14;78.0477;0
14;75.6596;0
14;71.0834;0
14;81.413;0
14;58.0791;14
14;77.7933;0
14;844.158;1
14;2703.39;2
14;85.6289;5
14;76.3558;0
14;75.5336;0
14;73.8977;1
14;78.2294;0
14;52.5127;3
14;117.779;0
14;80.7576;0
14;70.0259;0
14;109.174;3
14;416.026;1
14;16426.9;1
14;78.6103;0
14;253.247;6
14;79.6433;0
14;454.868;1
14;76.8103;0
14;234.181;2
14;76.1605;0
14;61.6128;6
14;70.9283;0
14;77.712;0
14;66.1044;2
14;76.2958;0
14;74.6191;0
14;62.7374;16
14;108.62;18
14;80.0141;0
14;496.646;11
14;692.045;4
14;76.484;0
14;1032.17;1
14;77.1571;0
14;1746;9
14;754.025;5
14;1033.98;4
14;83.1209;0
14;74.7863;0
14;75.4374;0
14;77.639;0
14;78.2956;0
14;76.9591;0
14;78.3434;0
14;79.9111;3
14;76.3344;0
14;80.9912;0
14;79.4457;0
14;138.617;2
14;63.129;24
14;76.5081;0
14;102.226;2
