n_places;milliseconds;valid_transitions
10;129.991;2
10;140.632;1
10;61.0472;7
10;66.2163;5
10;61.9977;4
10;55.9396;1
10;43.7811;2
10;60.4771;1
10;46.8217;0
10;48.3517;1
10;50.2064;6
10;54.4349;5
10;54.8417;5
10;53.0857;3
10;58.5015;2
10;430.013;1
10;46.4832;3
10;416.282;5
10;146.624;2
10;47.033;1
10;209.66;1
10;50.3707;1
10;44.3736;1
10;71.424;1
10;48.4632;5
10;54.3572;3
10;141.384;4
10;76.8371;5
10;99.0388;8
10;219.414;5
10;62.6737;3
10;52.1042;2
10;233.951;1
10;53.2413;4
10;53.364;3
10;97.8086;5
10;92.955;7
10;68.2064;1
10;100.569;2
10;67.8384;4
10;553.026;1
10;48.6441;2
10;72.606;0
10;90.5187;5
10;59.4715;5
10;62.818;3
10;86.779;2
10;56.129;7
10;127.453;5
10;38.6371;5
10;54.3676;7
10;92.2124;2
10;59.5718;1
10;43.6825;4
10;77.077;1
10;51.4374;4
10;56.3978;4
10;52.3677;5
10;46.675;4
10;105.734;4
10;148.676;2
10;142.848;1
10;86.7104;6
10;51.0877;8
10;37.4322;0
10;631.852;1
10;213.468;2
10;205.04;4
10;44.0748;5
10;62.1934;3
10;57.6427;4
10;139.672;5
10;60.6493;3
10;37.9243;4
10;75.0199;1
10;133.798;3
10;48.2563;6
10;54.5331;2
10;52.4171;6
10;61.7629;0
10;86.2225;1
10;66.1544;3
10;87.3929;3
10;55.7005;8
10;194.167;4
10;43.0077;5
10;313.384;7
10;115.305;0
10;51.1006;0
10;49.3447;7
10;102.858;1
10;46.4136;4
10;45.8579;8
10;56.2484;4
10;62.8838;5
10;47.6962;3
10;81.7423;4
10;53.1;7
10;47.2977;6
10;50.2307;3
11;48.3794;7
11;61.7027;3
11;83.5097;5
11;64.3246;4
11;80.9619;0
11;56.0939;5
11;68.586;4
11;104.873;4
11;64.4461;6
11;52.6871;6
11;751.092;4
11;57.2945;6
11;137.951;5
11;160.214;3
11;253.662;2
11;140.985;0
11;458.1;2
11;106.274;2
11;85.3557;4
11;46.2396;6
11;96.2808;5
11;90.9801;7
11;51.1364;7
11;106.529;4
11;81.8683;4
11;48.2636;8
11;108.305;0
11;93.3849;5
11;41.6417;9
11;375.344;1
11;63.911;3
11;86.0487;0
11;72.2492;4
11;63.2712;5
11;69.0767;3
11;165.989;5
11;64.3529;2
11;55.824;5
11;83.0448;2
11;101.096;4
11;479.786;4
11;49.2811;2
11;59.6273;2
11;48.4147;4
11;106.788;4
11;64.1042;5
11;102.602;6
11;53.5723;6
11;53.0846;7
11;43.3095;7
11;73.5114;3
11;79.3035;9
11;71.3879;9
11;56.5427;2
11;75.5511;8
11;49.9664;2
11;48.3685;9
11;68.0451;5
11;106.893;1
11;96.0258;5
11;143.139;4
11;45.8578;7
11;242.977;2
11;58.0993;3
11;256.051;5
11;75.3956;5
11;532.249;5
11;302.426;2
11;54.949;6
11;51.8846;2
11;61.0529;2
11;116.096;3
11;77.8226;6
11;41.0972;3
11;83.4223;1
11;37.0617;2
11;54.9215;6
11;55.8667;1
11;206.634;5
11;1801.24;5
11;102.094;3
11;79.1887;4
11;239.332;4
11;74.0834;4
11;56.2806;8
11;83.156;2
11;87.6849;4
11;114.521;1
11;224.794;3
11;119.499;2
11;81.703;10
11;73.0308;6
11;49.8907;5
11;55.9172;4
11;62.1192;7
11;58.8544;4
11;76.6008;7
11;75.6927;2
11;51.2101;4
11;45.5506;5
12;298.498;5
12;54.0933;3
12;51.8666;9
12;158.373;3
12;72.1567;7
12;275.498;1
12;60.4841;10
12;62.2266;5
12;61.3418;5
12;822.496;4
12;47.3461;1
12;69.2648;4
12;85.361;1
12;77.416;9
12;64.6503;3
12;89.5223;3
12;238.946;8
12;62.5466;3
12;56.0843;4
12;179.581;2
12;66.9383;4
12;72.0466;2
12;64.1423;9
12;39.8321;1
12;76.1395;5
12;83.1341;3
