free choice net
n_places;milliseconds;valid_transitions
13;64.855;15
13;92.9105;1
13;79.0002;6
13;70.4444;12
13;75.045;16
13;61.5639;13
13;62.0106;8
13;293.818;5
13;84.3594;7
13;68.6856;13
13;58.0722;9
13;4023.81;9
13;67.5122;2
13;105.965;11
13;190.531;3
13;81.881;0
13;75.3681;4
13;183.164;0
13;234.385;0
13;74.701;2
13;59.656;4
13;1621.89;1
13;88.5305;0
13;80.8259;10
13;88.5246;8
13;65.8706;16
13;107.566;9
13;68.1126;7
13;65.4877;8
13;99.1551;14
13;460.578;10
13;66.9507;9
13;7061.71;0
13;108.213;3
13;153.178;7
13;67.0514;4
13;214.465;2
13;53.2122;23
13;58.9641;12
13;462.64;6
13;306.279;7
13;3403.72;5
13;353.022;13
13;72.5124;5
13;85.6245;11
13;675.442;6
13;523.903;0
13;640.327;2
13;100.427;8
13;432.398;8
13;131.139;29
13;113.762;1
13;56.5027;6
13;1221.83;1
13;1516.88;5
13;64.2977;5
13;249.461;5
13;63.5593;16
13;448.377;6
13;596.539;3
13;97.4379;4
13;112.37;8
13;51.5968;22
13;123.627;5
13;92.8972;8
13;84.9092;0
13;471.02;3
13;108.08;13
13;978.683;3
13;313.595;12
13;58.2098;5
13;60.1479;13
13;67.3042;2
13;59.9536;3
13;73.0259;9
13;75.7525;15
14;1762.04;9
14;71.4603;9
14;540.331;6
14;91.3047;22
14;64.7323;5
14;6688.91;7
14;69.2847;13
14;458.511;6
14;65.2109;12
14;520.597;5
14;205.182;1
14;86.8448;18
14;143.857;8
14;259.611;13
14;153.263;6
14;72.4869;7
14;311.944;24
14;490.211;5
14;73.1314;16
14;89.66;6
14;78.0004;6
14;814.067;4
14;247.371;4
14;53.36;2
14;104.812;4
14;72.261;12
14;62.795;6
14;2147.59;1
14;70.9134;14
14;170.77;15
14;8326.44;16
14;649.759;15
14;283.488;4
14;1900.61;5
14;83.708;11
14;68.2255;12
14;892.436;1
14;2598.92;12
14;164.221;9
14;2263.36;11
14;144.687;15
14;198.161;4
14;505.021;9
14;63.8397;5
14;63.8523;18
14;859.448;7
14;82.5227;10
14;63.4045;3
14;87.7596;3
14;64.8641;19
14;99.2565;7
14;85.1465;8
14;12547.1;3
14;72.5911;6
14;71.113;19
14;3192.07;4
14;81.5135;18
14;90.4336;6
14;66.225;7
14;80.5672;18
14;72.1048;6
14;1801.95;0
14;12885.3;2
14;106.85;8
14;73.2449;9
14;76.996;10
14;76.7851;8
14;5346.31;2
14;512.334;0
14;77.9722;18
14;343.604;0
14;57.1085;4
14;70.2912;15
14;12215.5;4
14;8775.98;8
14;597.988;4
14;112.541;5
14;175.826;14
14;726.816;3
14;79.349;11
14;399.074;5
14;65.2394;8
14;825.27;2
14;4967.43;3
14;81.9784;12
14;71.8634;5
14;111.47;13
14;140.855;4
14;54.4858;1
14;66.7357;13
14;101.023;1
14;5081.23;8
14;2341.38;3
14;1816.27;2
14;225.036;4
14;373.529;6
14;69.99;10
14;2977.3;6
14;121.524;11
14;140.831;7
15;3723.92;8
15;13702.4;7
15;305.114;13
15;701.215;3
15;66.8594;20
15;80.6821;17
15;2240.57;12
15;212.304;6
15;81.8816;7
15;1295.04;3
15;80.3514;11
15;129.211;14
15;110.677;1
15;243.344;11
15;447.047;4
15;82.0648;9
15;414.795;8
15;96.3036;16
15;77.7761;3
15;66.138;10
15;293.985;5
15;1125.61;13
15;17649.2;1
15;109.823;10
15;70.7101;27
15;91.6654;10
15;116.66;6
15;3678.74;7
15;8212.78;8
15;110.249;1
15;197.634;22
15;118.091;2
15;3422.14;5
15;91.4631;14
15;62.2298;19
15;118.612;10
15;208.506;6
15;66.647;2
15;77.3911;17
15;692.383;2
15;101.355;9
15;72.8434;13
15;195.254;5
15;77.9544;17
15;88.4274;6
15;71.2777;10
15;118.872;3
15;102.191;15
15;5620.31;10
15;148.809;1
15;2012.17;21
15;1010.37;7
15;98.8688;12
15;342.977;4
15;1599.12;13
15;69.3793;19
15;105.516;7
15;115.63;18
15;161.448;6
15;4427.2;4
15;1316.47;10
15;9579.5;2
15;66.7053;8
15;977.06;11
15;3090.92;7
15;1230.55;5
15;66.086;14
15;72.1642;16
15;40531.4;2
15;60.0193;9
15;617.832;1
15;405.923;3
15;218.958;13
15;111.727;13
15;77.9185;7
15;95.994;4
15;9753.25;1
15;442.204;10
15;84.8781;3
15;4291.51;10
15;2633.6;4
15;736.486;11
15;46257.5;9
15;98.6903;13
15;305.816;5
15;147.616;10
15;499.126;3
15;120.241;9
15;883.007;1
15;105.988;14
15;288.394;8
15;205.578;11
15;58.8239;16
15;102.972;6
15;2173.46;6
15;2494.86;8
15;74.3047;6
15;660.368;3
15;2745.08;5
15;749.746;2
16;75.6967;10
16;22636.6;0
16;712.751;9
16;85.7198;5
16;119.383;13
16;1000.23;3
16;200.79;1
16;87.9056;4
16;1187.78;5
16;105.949;14
16;86.7212;16
16;194.707;7
16;84.6944;10
16;75.0122;5
16;584.306;8
16;168.981;13
16;142.599;14
16;183.154;5
16;2287.16;2
16;153.361;9
16;314.906;5
16;174.071;3
16;108.707;8
16;67.7186;28
16;4859.75;4
16;798.997;6
16;84.0347;0
16;163811;1
16;58.5981;5
16;1092.31;13
16;209.886;10
16;88.0938;1
16;68.9995;4
16;271.236;7
16;593.619;10
16;1937.86;9
16;686.322;0
16;239.746;6
16;62.2507;6
16;123.62;14
16;78.0016;29
16;65.7169;12
16;88.1577;1
16;4385.11;8
16;230.486;20
16;2111.82;4
16;83.3093;0
16;368.346;13
16;76.0266;24
16;86.3269;12
16;226.444;6
16;2500.08;7
16;102.368;15
16;640.394;2
16;6600.91;4
16;144.895;8
16;1629.18;9
16;158.451;11
16;46825.4;10
16;218.965;6
16;69.3619;10
16;15394.2;8
16;95.4515;15
16;154.453;8
16;87.2776;10
16;264.569;10
16;90.8906;12
16;549.512;21
16;90.9733;14
16;103.903;13
16;63.0302;5
16;82.4556;9
16;70.9615;11
16;1423.66;11
16;140.614;7
16;78.8716;13
16;17110.1;6
16;211.305;12
16;3508.41;8
16;89.6897;0
16;85.168;13
16;43461.4;6
16;72.5633;18
16;159.548;5
16;59.5572;6
16;69.3272;14
16;61.2992;3
16;1027.42;7
16;126.07;18
16;110.944;15
16;636.185;13
16;124.948;9
16;812.76;8
16;81.3329;5
16;73.6612;12
16;23419.7;9
16;7366.28;4
16;85.1743;6
16;304.664;8
16;490.121;9
17;85.4691;13
17;72.4084;8
17;1514.57;2
17;177.716;14
17;13799.7;6
17;235.878;12
17;82.4516;21
17;91.3399;14
17;20635.9;1
17;311.849;18
17;724.983;9
17;133.895;12
17;80.4524;12
17;81.1543;10
17;1162.56;7
17;88.5224;20
17;3281.48;5
17;46557.8;12
17;75.4786;5
17;81.6584;16
17;498.426;8
17;2986.29;11
17;248.105;12
17;95.5939;7
17;358.403;10
17;109.513;12
17;67.107;14
17;154.938;13
17;117.831;6
17;108.509;6
17;840.343;15
17;490.194;8
17;77.0294;11
17;56449;3
17;24811.4;6
17;91.207;10
17;1176.17;9
17;9164.89;4
17;2257.77;7
17;219.496;12
17;7533.43;19
17;694.455;8
17;120.248;10
17;51577.4;7
17;110.746;20
17;81.4142;8
17;1742.84;8
17;68.109;40
17;686.363;9
17;3011.1;7
17;1616.4;4
17;129.043;5
17;128.047;9
17;91.0912;15
17;76.1899;10
17;84.3501;17
17;20277.3;3
17;9886.61;4
17;10416.3;3
17;7526.89;3
17;100.205;11
17;90.0141;17
17;131.189;11
17;4667.66;7
17;74.0408;18
17;257.985;16
17;65168.3;7
17;84.4657;4
17;479.512;2
17;7669.66;2
17;237.615;6
17;488.466;20
17;84.5797;11
17;71.7491;31
17;14235.5;6
17;350.286;7
17;1355.61;7
17;89.2013;12
17;39725;1
17;176.905;4
17;724.557;7
17;230.468;3
17;160.637;11
17;34126.5;2
17;161.79;11
17;475.263;9
17;2837.39;7
17;117.745;4
17;533.048;5
17;257.538;15
17;6677.44;9
17;76.3104;20
17;77.4526;17
17;34473.8;8
17;75.5562;15
17;71.9886;19
17;5424.72;7
17;12154.2;4
17;3582.23;7
17;232.039;9
18;203.155;5
18;83.2002;6
18;122.836;4
18;521.447;13
18;263.095;5
18;147.32;11
18;71.8956;14
18;129.198;6
18;818.419;8
18;81.1966;3
18;173.497;7
18;1510.1;13
18;1170.22;2
18;1995.46;11
18;75.2202;16
18;468.548;12
18;1689.16;15
18;75.4779;19
18;165.01;20
18;310.32;20
18;1674.28;5
18;76.0426;13
18;116.333;1
18;175.658;13
18;3599.53;5
18;72243.1;7
18;24662.7;12
18;116.152;20
18;137.599;14
18;99.9863;21
18;83.5206;12
18;101.302;11
18;106.024;19
18;73.6613;1
18;84.4382;13
18;257.512;7
18;118.768;10
18;16837.6;3
18;190.9;25
18;99.5932;18
18;97.4497;17
18;63.2151;10
18;688.612;7
18;102.264;21
18;115.34;29
18;109.456;6
18;97.7219;11
18;260.63;11
18;83.7871;15
18;1409.43;8
18;1184.07;16
18;848.56;12
18;484.239;2
18;81.2943;12
18;3268.58;13
18;132.744;10
18;130.542;5
18;22687;14
18;219.133;5
18;2268.17;11
18;12113.9;3
18;71.9383;20
18;86.88;10
18;131.802;8
18;85.9086;11
18;386.025;11
18;226.544;10
18;77.3853;19
18;85.8301;11
18;83.0275;16
18;5745.7;11
18;112.673;15
18;23173.1;4
18;261.442;13
18;83.7017;5
18;630.716;17
18;267.957;2
18;81.7938;11
18;97.5325;11
18;89.388;19
18;3922.58;8
18;276.819;6
18;166694;13
18;518.388;8
18;3788.7;9
18;82.6666;12
18;86.5814;23
