n_places;milliseconds;valid_transitions
10;201.612;1
10;85.3187;0
10;64.5685;15
10;82.1706;0
10;116.954;0
10;84.1943;0
10;104.744;3
10;86.3667;0
10;65.4948;1
10;85.5217;0
10;75.2371;4
10;87.8548;0
10;82.1147;9
10;100.588;2
10;80.6525;0
10;84.7496;0
10;149.787;4
10;115.17;9
10;66.1473;2
10;87.5178;0
10;84.195;0
10;53.4703;6
10;165.067;10
10;243.908;4
10;90.1013;1
10;87.2375;0
10;82.3812;0
10;100.095;5
10;338.875;9
10;93.6642;3
10;79.4093;2
10;64.8803;7
10;59.8033;5
10;107.217;12
10;134.678;8
10;84.6307;0
10;71.9384;5
10;158.761;1
10;84.449;0
10;85.8909;0
10;556.557;11
10;87.2194;0
10;214.629;4
10;83.8022;0
10;86.3505;0
10;82.9975;0
10;86.6717;0
10;147.517;0
10;76.7139;2
10;67.9133;5
10;87.6171;0
10;195.862;5
10;286.982;6
10;86.205;4
10;80.5603;9
10;64.2033;6
10;84.5603;0
10;83.1784;2
10;81.4073;0
10;113.175;3
10;85.9825;0
10;86.9687;0
10;189.885;0
10;85.0395;9
10;128.882;3
10;85.0049;0
10;118.382;4
10;85.9545;0
10;86.1806;0
10;117.893;3
10;87.8694;3
10;83.3035;7
10;83.3784;0
10;84.328;0
10;83.22;0
10;85.4738;0
10;83.8266;0
10;84.6267;0
10;88.3288;0
10;94.9383;4
10;466.235;0
10;83.6757;0
10;65.1181;4
10;72.8797;1
10;339.037;7
10;61.3391;16
10;86.6165;0
10;84.1334;0
10;80.573;0
10;84.7248;0
10;85.2493;0
10;143.222;4
10;50.4064;4
10;76.5455;2
10;103.091;2
10;108.867;1
10;76.9727;2
10;71.802;2
10;83.1106;0
10;82.5806;0
11;88.1536;2
11;92.2852;0
11;90.1011;0
11;57.9752;0
11;95.704;5
11;94.1537;0
11;42.5743;4
11;93.1792;0
11;92.1054;0
11;89.0739;4
11;93.3328;0
11;53.427;16
11;90.9957;2
11;91.6194;0
11;91.0336;0
11;624.165;0
11;46.6177;3
11;92.9912;0
11;90.5111;0
11;153.485;9
11;100.628;5
11;95.0253;0
11;90.6976;0
11;91.0146;6
11;153.172;4
11;93.5346;2
11;90.3634;0
11;91.5835;0
11;89.3456;0
11;142.983;9
11;89.8589;2
11;90.0188;0
11;91.9963;0
11;93.9287;0
11;86.2727;0
11;126.672;0
11;61.803;12
11;83.0939;0
11;63.0043;1
11;89.7823;0
11;227.852;0
11;70.9509;4
11;93.6424;0
11;59.772;1
11;113.84;2
11;70.503;4
11;77.5308;8
11;90.0243;0
11;55.7286;4
11;90.5079;0
11;91.6963;0
11;87.4143;1
11;163.858;5
11;457.54;0
