n_places;milliseconds;milliseconds_n_at_once;valid_transitions
12;64.4087;64.3548;9
12;58.4055;58.4329;9
12;138.994;161.733;2
12;57.4084;57.3619;6
12;60.6497;60.626;7
12;52.7586;52.8516;2
12;52.206;52.2267;1
12;69.5572;87.697;5
12;41.4471;46.4024;2
12;57.1978;57.0092;6
12;53.0784;53.0013;3
12;59.3659;59.3576;7
12;66.2645;66.1812;4
12;254.954;326.436;3
12;52.8277;52.7323;1
12;70.191;70.1087;2
12;48.8436;48.8409;2
12;116.388;116.292;1
12;69.4576;82.7758;2
12;69.3569;69.329;6
12;66.483;66.593;5
12;47.5325;73.0953;4
12;55.0302;54.965;6
12;58.1585;58.1171;5
12;50.2527;50.1715;0
12;147.551;86.0035;1
12;46.6681;46.6407;4
12;190.696;269.242;1
12;72.347;72.3789;9
12;201.434;86.9562;7
12;60.9516;60.9145;8
12;65.148;64.3081;0
12;78.8164;79.1684;6
12;358.744;357.057;7
12;46.8738;46.8886;2
12;67.491;67.3995;3
12;73.3794;73.4673;1
12;68.6306;113.255;0
12;83.5319;83.3005;0
12;59.0187;57.909;7
12;55.524;55.5054;2
12;52.3595;52.3538;2
12;70.7386;70.7257;5
12;70.3327;70.2064;9
12;115.025;114.64;5
12;56.6295;56.602;5
12;84.2647;82.2041;4
12;79.9379;85.6329;8
12;98.4885;98.475;5
12;40.5041;40.4874;3
12;182.079;182.393;1
12;56.274;56.2628;5
12;61.2707;39.2828;2
12;64.6567;68.0817;4
12;62.7674;62.7633;4
12;64.0203;63.9035;2
12;81.3941;63.9262;2
12;49.1584;49.0539;10
12;56.5616;56.5016;1
12;197.906;196.96;5
12;84.3174;76.8318;1
12;81.0568;95.0614;3
12;54.6709;54.9005;1
12;52.5418;53.2003;5
12;65.3128;65.2727;1
12;122.666;126.138;4
12;253.727;375.035;4
12;332.336;78.8257;4
12;116.516;148.227;4
12;352.283;1170.5;2
12;130.12;129.71;3
12;396.948;134.072;0
12;46.0225;45.6401;4
12;58.8366;58.7867;2
12;72.883;72.7413;5
12;70.6224;71.3084;9
12;71.3575;71.2246;1
12;55.8282;149.759;2
12;58.1388;65.3176;5
12;95.871;106.016;2
12;70.958;69.5063;8
12;54.3379;54.3571;6
12;76.5471;78.7369;9
12;68.3954;68.345;2
12;222.253;144.557;6
12;49.7347;49.7727;2
12;149.499;281.366;5
12;76.7158;76.7541;6
12;52.3664;52.7885;2
12;115.207;115.342;7
12;63.6981;63.6439;4
12;195.576;107.441;1
12;45.0946;41.8701;3
12;35.3355;35.2673;0
12;248.355;419.284;8
12;109.155;108.591;4
12;58.4845;58.1815;6
13;94.9321;95.9179;3
13;115.511;101.64;8
13;120.368;183.443;9
13;85.4725;85.3584;3
13;49.2472;49.2662;0
13;70.1493;68.9254;5
13;72.0019;72.203;9
13;90.9518;90.8934;5
13;163.324;178.471;4
13;105.701;105.777;3
13;69.4516;69.627;3
13;66.1914;66.2553;5
13;64.6767;67.8696;8
13;115.769;121.576;2
13;69.8422;69.7818;2
13;100.696;101.256;2
13;75.2887;75.2493;3
13;65.4618;64.2989;7
13;63.2055;63.1655;0
13;63.6;68.528;1
13;60.9531;60.3306;6
13;71.2222;74.3952;6
13;919.209;549.244;2
13;68.8105;68.5145;2
