n_places;milliseconds;valid_transitions
13;52.4515;5
13;61.6923;6
13;48.1708;8
13;197.556;0
13;51.5648;4
13;92.1859;6
13;85.0874;3
13;2847.51;3
13;71.4444;6
13;695.498;7
13;54.5404;4
13;328.313;3
13;52.995;3
13;133.034;3
13;90.4723;0
13;376.612;5
13;70.6809;4
13;94.2491;2
13;400.965;2
13;92.6694;2
13;58.4834;7
13;175.79;3
13;198.172;5
13;127.8;0
13;210.008;3
13;71.8409;2
13;48.4112;6
13;58.5487;2
13;116.261;5
13;626.971;5
13;133.924;0
13;170.782;6
13;63.0355;4
13;47.6921;5
13;45.9593;3
13;69.0026;4
13;52.6796;4
13;8528.23;3
13;78.4458;3
13;66.2612;2
13;185.903;0
13;75.7999;3
13;50.6721;4
13;74.0331;5
13;791.97;1
13;82.9638;4
13;142.226;7
13;62.3816;5
13;64.794;6
13;51.1492;6
13;210.348;2
13;2920.65;5
13;53.7879;9
13;510.068;1
13;1111.06;2
13;64.5532;6
13;61.2249;12
13;151.178;7
13;77.6135;3
13;87.7196;8
13;69.6795;4
13;138.386;7
13;103.231;2
13;75.2024;6
13;357.541;3
13;2652.5;6
13;89.3703;4
13;591.847;4
13;58.8524;2
13;116.068;4
13;75.4267;1
13;89.6033;3
13;68.1095;5
13;76.0789;1
13;3608.89;6
13;833.434;2
14;133.948;4
14;306.115;6
14;572.545;3
14;55.7147;4
14;1444.57;7
14;346.852;9
14;301.512;10
14;801.454;0
14;1047.07;5
14;215.312;8
14;1962.6;3
14;133.96;2
14;2473.93;5
14;479.98;3
14;2149.76;2
14;57.1038;5
14;80.3824;3
14;390.336;2
14;104.516;3
14;103.082;8
14;120.446;6
14;109.219;2
14;79.9254;4
14;96.8363;7
14;59.3713;8
14;91.3389;4
14;295.707;7
14;561.843;7
14;423.777;4
14;53.2163;9
14;255.632;8
14;1414.37;6
14;96.388;2
14;916.023;3
14;130.313;4
14;1350.41;7
14;77.4115;5
14;141.915;5
14;104.017;8
14;80.2179;9
14;305.557;3
14;55.9532;3
14;631.213;5
14;76.6436;4
14;71.6706;5
14;72.0766;2
14;580.582;1
14;2733.47;2
14;950.259;2
14;505.182;3
14;61.9685;4
