n_places;milliseconds;valid_transitions
13;104.797;4
13;150.918;5
13;168.212;5
13;63.144;4
13;520.081;3
13;3075.07;5
13;76.2022;0
13;238.828;1
13;95.5227;6
13;53.1588;1
13;130.474;4
13;115.876;3
13;53.249;12
13;84.0726;0
13;243.237;6
13;53.0477;5
13;414.886;6
13;44.939;4
13;64.7964;6
13;559.656;0
13;66.1334;2
13;203.746;6
13;253.62;0
13;3265.07;3
13;364.355;6
13;586.608;3
13;82.9741;4
13;80.6475;1
13;958.316;6
13;49.2976;4
13;380.709;3
13;58.1656;7
13;64.5677;4
13;151.39;3
13;50.8056;5
13;52.5366;2
13;298.57;3
13;212.969;4
13;65.1042;8
13;76.8344;8
13;61.1091;8
13;82.2134;1
13;46.7039;2
13;53.5067;7
13;479.368;4
13;55.4275;1
13;548.431;6
13;56.8974;4
13;155.913;1
13;2326.74;6
13;398.092;3
13;61.742;2
13;287.022;9
13;63.6437;3
13;3050.54;2
13;113.698;3
13;95.1092;6
13;852.851;0
13;78.5624;7
13;134.278;1
13;122.15;3
13;64.9971;3
13;1733.02;3
13;60.4914;9
13;89.6049;8
13;296.149;1
13;264.316;3
13;554.007;2
13;612.175;1
13;83.6388;6
13;70.4059;3
13;54.7651;4
13;53.8484;6
13;55.7065;7
13;543.161;3
14;128.842;4
14;58.1765;5
14;86.8132;12
14;251.72;5
14;1671.71;4
14;62.1466;4
14;6361.48;5
14;10031.5;4
14;54.9307;4
14;125.068;13
14;11557.9;1
14;61.1596;5
14;65.6438;5
14;152.917;2
14;59.7765;9
14;2063.33;1
14;94.6246;3
14;1338.37;5
14;72.1436;4
14;331.216;5
14;96.6247;1
14;88.6455;6
14;85.7898;4
14;377.401;1
14;65.5346;4
14;81.3178;9
14;231.717;6
14;68.8762;3
14;134.857;2
14;1532.86;1
14;92.9254;7
14;1152.2;3
14;50.9683;2
14;1668.7;1
14;134.912;2
14;74.2126;7
14;50.9795;7
14;338.989;2
14;63.6335;6
14;66.1941;9
14;82.658;2
14;77.9067;5
14;80.2847;7
14;160.402;8
14;114.96;5
14;40.5057;3
14;150.102;5
14;60.0561;9
14;1495.43;5
14;4773.22;7
14;61.2397;6
14;62.3019;10
14;1292.5;4
14;1210.14;2
14;117.975;9
14;320.28;8
14;355.22;4
14;302.213;4
14;70.3822;8
14;221.473;7
14;2619.25;9
14;2321.93;5
14;64.6284;3
14;341.228;7
14;67.4494;3
14;67.085;7
14;156.013;2
14;55.6355;7
14;3262.04;6
14;931.229;5
14;54.7151;2
14;65.2186;4
14;45.1013;4
14;62.4072;4
14;2798.99;2
14;90.4995;7
14;103.18;7
14;70.5906;3
14;96.5322;4
14;64.1863;5
14;4131.84;7
14;80.9292;3
14;128.362;6
14;75.8596;5
14;53.7896;6
14;2567.85;2
14;109.7;4
14;52.835;5
14;84.5953;1
14;62.0747;1
14;55.5554;2
14;4019.72;0
14;55.1232;6
14;217.446;2
14;51.2088;11
14;54.0393;5
14;58.7814;5
14;475.58;6
14;56.7621;8
14;553.124;8
15;59.5507;8
15;3999.21;5
15;678.096;6
15;2122.41;5
15;74.0305;4
15;177.306;3
15;86.3962;4
15;93.5213;4
15;85.4812;6
15;2580.95;2
15;56.2544;10
15;62.4511;5
15;507.816;4
15;783.586;2
15;303.512;4
15;165.477;4
15;248.884;7
15;79.6617;5
15;2990.15;1
15;55.3273;7
15;2517.51;6
15;574.292;4
15;81.5675;8
15;446.111;3
15;614.016;7
15;463.365;3
15;376.083;4
15;65.5872;8
15;15071.3;6
15;1560.36;5
15;64.6797;4
15;50.5845;7
15;79.0042;10
15;388.715;7
15;1601.49;3
15;49.0126;2
15;27695.3;10
15;93.3786;4
15;1089.58;4
15;6158.56;5
15;79.6174;11
15;82.3862;7
15;72.6709;9
15;376.074;1
15;80.4129;6
15;4071.67;5
15;229.766;2
15;245.842;6
15;3660.89;3
15;1496.5;7
15;553.254;7
15;67.0596;4
15;511.619;5
15;109.387;9
15;2915.78;8
15;243.564;5
15;771.952;9
15;125.216;4
15;69.3575;7
15;534.721;4
15;82.5278;1
15;379.701;3
15;60.6348;6
15;169.235;3
15;970.391;7
15;86.3729;3
15;52.6119;4
15;64.8055;2
15;152.085;5
15;281.818;1
15;275.866;3
15;103.897;3
15;293.138;2
15;61.4906;6
15;100.463;4
15;370.3;1
15;1277.81;9
15;649.327;6
15;1014.67;4
15;2732.81;1
15;78.0456;5
15;739.299;6
15;71.9651;5
15;343.612;11
15;179.544;5
15;244.346;3
15;2266;6
15;4955.26;3
15;251.604;3
15;3144.51;2
15;301.282;4
15;1926.66;5
15;107.388;2
15;137.505;2
15;1446.36;2
15;929.524;6
15;68.9698;6
15;462.958;7
15;76.8128;10
15;140.095;7
16;207.659;8
16;304.435;6
16;654.616;6
16;7613.97;4
16;629.749;7
16;913.216;7
16;324.079;6
16;214.804;8
16;52.758;4
16;752.309;5
16;77.3857;9
16;89.8401;6
16;460.729;11
16;460.22;7
16;1028.41;6
16;3187.67;6
16;4171.25;6
16;64.0922;5
16;141.303;11
16;89.456;3
16;1690.37;8
16;1483.17;4
16;210.68;4
16;406.126;6
16;430.634;7
16;86.9522;5
16;1884.03;3
16;367.344;3
16;78.2366;12
16;66.4403;5
16;158.035;7
16;84.1071;7
16;217.107;6
16;89.5153;4
16;404.26;7
16;698.992;5
16;12180;6
16;1050.95;11
16;167.507;13
16;362.941;6
16;72.8982;4
16;74.8081;6
16;258.775;5
16;69.5461;5
16;64.3303;4
16;838.572;5
16;140.829;3
16;187.09;5
16;3262.64;5
16;149.836;6
16;80.7117;5
16;56.5123;4
16;74.7367;6
16;115.056;8
16;115.93;4
16;47231.9;6
16;67.7235;2
16;225.41;9
16;1037.66;6
16;173.164;6
16;70.4903;1
16;1967.4;7
16;105.118;6
16;95.4557;5
16;67.5981;3
16;52.7613;3
16;73.0442;6
16;195.721;2
16;494.679;4
16;188.482;4
16;752.546;4
16;72.5854;4
16;33049;2
16;70.5736;6
16;150.162;8
16;2462.23;3
16;4205.56;4
16;91.0821;8
16;30699.5;7
16;17927;3
16;6031.7;6
16;113.933;9
16;65.1453;8
16;110.409;7
16;62.0737;10
16;2177.94;6
16;61.5418;8
16;10092.4;3
16;58.8045;7
16;92.7867;10
16;4001.96;2
16;68.5831;7
16;515.969;4
16;267.567;4
16;992.094;6
16;342.997;6
16;171.626;5
16;68.5733;6
16;87.0817;5
16;85.4008;5
17;351.137;8
17;584.657;4
17;456.975;8
17;7972.27;4
17;123.875;5
17;74.6481;10
17;345.693;5
17;35384.9;6
17;138.262;3
17;85.0659;11
17;72.2868;7
17;72.5247;5
17;119.291;6
17;74.5714;11
17;68.6856;7
17;95.7542;3
17;2733.33;4
17;78.1374;16
17;69.7864;6
17;111.05;1
17;1679.1;4
17;567.29;6
17;78.682;4
17;70.2833;13
17;666.934;5
17;94.0676;3
17;149.018;6
17;112.5;11
17;144.467;12
17;259.145;10
17;88.2722;3
17;103.532;3
17;79.8083;7
17;71.1499;9
17;1200.19;5
17;1896.77;2
17;315.026;6
17;54874.6;8
17;496.541;3
17;3977.23;5
17;934.447;3
17;74.9563;7
17;86.5584;13
17;1091.55;10
17;18579.2;8
17;8319.63;3
17;105.408;7
17;104.359;4
17;52.2842;4
17;492.356;7
17;1466.21;4
17;1127.17;5
17;59.9259;8
17;74.8596;5
17;400.268;10
17;2286.99;11
17;159.279;6
17;733.502;8
17;16864.2;1
17;186.636;7
17;63.98;9
17;273.409;1
17;139.608;11
17;79.6392;11
17;4901.08;3
17;86.9428;6
17;744.628;11
17;275.124;2
17;122.27;9
17;510.202;1
17;83.2567;3
17;264.082;3
17;868.015;11
17;1964.25;6
17;239.155;5
17;1387.36;5
17;340.695;2
17;75.7769;6
17;85.412;8
17;68.2016;8
17;1571.18;5
17;1184;2
17;2709.48;10
17;86.0281;7
17;1235.88;2
17;1971.36;3
17;63.6137;2
17;1047.34;7
17;241.58;7
17;64.7876;5
17;5867.94;1
17;162.275;5
17;107.724;8
17;1163.9;7
17;6688.99;6
17;2471.88;4
17;72.4368;8
17;329.624;3
17;117.972;5
17;74.1546;10
18;5491.73;6
18;67.2346;5
18;150.29;7
18;1324.98;2
18;77.25;5
18;1120.46;4
18;193.246;3
18;99.951;3
18;937.503;4
18;168.657;6
18;637.662;7
18;245.612;4
18;2720.48;10
18;70.3877;3
18;1294.36;9
18;19600.6;6
18;86.9458;9
18;102.165;6
18;630.289;7
18;2109.79;5
18;1869.81;6
18;375.907;7
18;473.591;4
18;92.706;9
18;401.665;10
18;4273.44;2
18;473.387;5
18;379.418;4
18;65.4759;4
18;170.001;9
18;68.2264;6
18;782.758;4
18;296.104;8
18;1480.02;1
18;15696.5;2
18;91.9019;6
18;4784.39;4
18;2489.74;6
18;635.576;9
18;165.985;9
18;176.032;9
18;161.928;9
18;324.324;4
18;144763;4
18;23334.3;11
18;84.5282;7
18;470.352;5
18;2407.48;7
18;251.667;8
18;86.04;4
18;79.9935;11
18;10467.8;10
18;780.633;5
18;97.8442;8
18;398.425;5
18;83.9849;14
18;2186.4;6
18;9230.83;6
18;1370.45;2
18;228.138;8
18;7788.45;5
18;253.59;11
18;106.786;6
18;8482.15;5
18;16468;1
18;62.4781;6
18;697.093;6
18;68.9832;4
18;6394.5;8
18;111.571;5
18;100.009;3
18;82.8012;4
18;41674.2;6
18;2170.7;5
18;70.2341;5
18;72.3788;5
18;69.055;8
18;912.387;7
18;1163.44;3
18;81.3993;9
18;245.442;6
18;77.8231;4
18;341.47;9
18;13261.9;3
18;116.484;8
18;66.9315;2
18;36731.7;5
18;75.9837;5
18;108375;2
18;2062.51;5
18;87.1053;1
18;79.1423;11
18;96.7587;3
18;75.2553;9
18;156.378;9
18;585.937;5
18;419.98;2
18;859.457;4
18;3052.78;4
18;117.334;10
19;3970.86;12
19;85.8351;11
19;88.9973;10
19;244.334;1
19;1787.65;7
19;122.849;8
19;35810.9;1
19;1993.88;8
19;113.234;11
19;13898;5
19;2384.18;4
19;10653.9;3
19;147.138;10
19;156.308;4
19;370.429;4
19;13136.2;1
19;62.7331;4
19;378.279;7
19;98.7214;8
19;79.3441;12
19;97.0013;7
19;113.228;15
19;728.479;10
19;76.3064;8
19;88.9288;11
19;2716.96;6
19;13775.5;7
19;26052.1;3
19;9969.71;3
19;5173.3;6
19;11949.2;8
19;4873.59;9
19;41921;3
19;5126.16;4
19;559.873;6
19;49.8171;4
19;77.9292;7
19;67.0617;8
19;111.601;6
19;206.974;6
19;1216.61;9
19;2322.1;8
19;227.379;8
19;195.937;9
19;40155.4;1
19;125.74;6
19;20541.4;3
19;8737.79;6
19;82.8831;13
19;74.3564;5
19;3699.6;8
19;25935.8;6
19;657.624;10
19;7259.58;5
19;173.588;7
19;88.6784;10
19;1241.42;5
19;26517.3;1
19;235.882;2
19;78.4961;8
19;422.576;6
19;1058.6;3
19;188.124;11
19;69.1754;11
19;64346.7;6
19;3428.75;3
19;125.622;4
19;75.6559;8
19;2507.17;2
19;331.192;9
19;100.349;11
19;997.347;6
19;67844.4;8
19;78.4689;5
19;534.906;9
19;5243.12;5
19;10100;3
19;803.8;12
19;137.641;8
19;90.8462;6
19;108.557;8
19;10249.9;12
19;1233.48;8
19;552.295;6
19;6816.24;5
19;1665.79;9
19;72.9336;12
19;72.4779;9
19;1264.32;3
19;1671.21;3
19;563.264;6
19;631.271;0
19;3952.47;4
19;82.6057;2
19;369.975;12
19;964.04;4
19;603.678;9
19;193.837;6
19;187.222;6
19;12547.2;5
20;10572.8;6
20;5759.68;4
20;16373.7;7
20;801.158;5
20;6690.77;4
20;1499.95;12
20;67.737;6
20;82.6385;4
20;542.165;13
20;60.4134;9
20;11346.5;6
20;21245.9;7
20;100.531;6
20;6962.72;3
20;146.482;7
20;245.265;5
20;5566.59;7
20;1199.83;5
20;4427.84;13
20;84.1464;3
20;67.6335;6
20;10464.4;10
20;90.4237;8
20;921.672;6
20;957.14;5
20;85.5373;8
20;1788.11;5
20;82.3634;10
20;314.168;9
20;154.529;7
20;6734.45;4
20;9979.26;11
20;95.3156;1
20;319.227;8
20;4004.89;11
20;86.6466;8
20;1830.57;5
20;96.946;8
20;1123.95;9
20;4241.06;3
20;86.0541;9
20;91.9666;12
20;155.734;11
20;14893.3;2
20;103.125;5
20;117.807;13
20;91.6282;11
20;106.962;8
20;114.137;7
20;88.4141;9
20;150.741;8
20;70.1212;4
20;120.196;12
20;71.9246;4
20;88.8856;7
20;136.35;15
20;2606.59;1
20;236.171;5
20;420.333;10
20;152.421;5
20;107.113;7
20;1261.54;4
20;64128.3;9
20;121.526;1
20;140654;11
20;3208.36;5
20;70.1781;15
20;965.872;4
20;975.474;6
20;8520.06;6
20;784.806;12
20;98.7585;13
20;83.6508;13
20;2879.22;7
20;106.338;5
20;1119.58;3
20;669.549;7
20;77.6959;9
20;85.8023;5
20;8375.04;5
20;146.338;3
20;706.401;6
20;4277.23;3
20;384.795;11
20;335.883;10
20;1355.47;12
20;266.769;9
20;1033.91;4
20;2374.25;2
20;406.266;5
20;101.738;6
20;394748;2
20;870.317;5
20;704.088;6
20;355.796;10
20;87.9699;7
20;537.227;8
20;1911.93;6
20;3439.42;12
20;246.327;13
