n_places;milliseconds;milliseconds_n_at_once;valid_transitions
12;78.9278;87.2571;3
12;241.251;89.1534;3
12;61.581;60.8124;0
12;44.1538;44.0841;17
12;72.0928;69.9442;1
12;61.839;58.1602;7
12;52.1559;51.5582;1
12;53.238;53.6683;24
12;68.9727;68.9626;6
12;85.687;85.5686;5
12;61.1127;61.12;18
12;44.5808;44.661;0
12;60.6323;466.982;2
12;78.072;87.9856;14
12;59.3067;57.9866;4
12;40.0685;40.0917;26
12;322.746;275.414;2
12;67.0593;67.072;9
12;45.6237;45.5381;10
12;52.8961;53.4527;4
12;252.229;427.232;2
12;45.1229;46.4249;14
12;83.9259;83.8916;7
12;68.0945;67.0668;12
12;61.8695;61.8766;11
12;56.4358;56.3972;6
12;48.5186;49.2208;29
12;76.0755;75.4946;4
12;57.5135;57.4688;12
12;58.5303;58.5546;23
12;76.4648;77.0968;6
12;56.3974;55.6153;6
12;79.3439;77.8493;3
12;52.1206;51.3857;14
12;59.4649;95.4302;1
12;50.3853;49.6355;24
12;59.2286;59.1301;7
12;66.1774;68.9266;1
12;90.1701;83.2317;3
12;64.2833;60.4179;0
12;53.2311;53.6024;14
12;116.473;83.4488;3
12;65.3862;63.8937;4
12;159.745;168.871;10
12;60.1149;60.0261;7
12;64.3251;64.3435;19
12;63.1926;63.103;6
12;73.88;77.365;8
12;70.6001;85.8871;10
12;107.054;91.432;1
12;49.9773;66.2509;7
12;176.524;1820.47;5
12;56.2965;56.2979;3
12;57.072;57.2403;1
12;432.643;57.2634;5
12;67.2257;69.2033;4
12;57.2873;57.2624;10
12;67.7429;68.6793;7
12;47.7301;49.1607;10
12;56.3327;56.3201;26
12;87.5959;90.6709;8
12;57.7922;69.0536;4
12;64.6284;97.1621;16
12;66.2579;54.9009;9
12;176.862;300.165;14
12;40.02;39.9716;8
12;45.4311;45.4394;6
12;59.8933;59.4052;6
12;67.3213;67.2927;4
12;71.0567;71.0236;5
12;49.055;49.1039;5
12;104.297;122.749;7
12;206.429;206.721;4
12;51.7254;55.1429;0
12;63.3622;63.3883;10
12;48.8757;49.4728;0
12;54.6348;54.6284;5
12;57.8335;60.1473;7
12;64.5338;64.3839;7
12;53.243;54.7253;14
12;49.4954;60.2626;7
12;424.669;429.632;3
12;67.3461;115.603;4
12;60.2077;60.0891;9
12;75.0986;75.6073;2
12;57.053;57.0254;14
12;66.1081;68.97;16
12;69.2066;68.9663;10
12;49.8259;50.8807;30
12;63.2331;63.2435;9
12;62.7348;62.6706;11
12;601.907;829.114;8
12;64.2943;64.527;18
12;198.457;315.811;4
12;219.229;115.834;1
12;71.4007;71.4043;8
12;88.6842;58.135;3
13;53.2559;51.6113;0
13;77.1422;76.3566;18
13;53.6119;59.8106;6
13;54.5593;53.8084;1
13;47.9034;54.2033;1
13;66.9445;66.887;5
13;59.599;92.4369;2
13;78.1106;76.7466;8
13;63.8754;63.8281;6
13;76.3158;76.7815;3
13;59.12;59.1187;13
13;51.0147;52.4011;14
13;61.6851;61.6913;0
13;40.1973;56.6947;1
13;63.4345;69.6047;0
13;55.8358;69.6538;0
13;56.9315;61.99;13
13;110.025;85.4965;2
13;77.8476;77.757;9
13;66.985;71.458;1
13;68.1584;89.6506;7
13;59.0405;64.1453;0
13;125.74;132.856;3
13;69.7501;72.8568;3
13;168.787;193.603;3
13;62.808;62.7528;7
13;54.5878;55.2852;28
13;62.3409;62.4492;4
13;67.4843;67.4586;1
13;47.6829;47.6587;13
13;75.9735;78.4533;17
13;59.4622;61.1529;11
13;53.7459;53.7496;9
13;64.3957;64.3585;1
13;57.206;57.1371;8
13;60.4589;74.6089;14
13;51.0429;51.0396;1
13;64.7678;66.8901;8
13;76.1782;71.0155;6
13;75.1348;75.0333;5
13;693.628;259.394;0
13;55.3583;64.0804;0
13;56.5114;57.5787;5
13;89.3335;89.3155;13
13;75.4154;80.0287;10
13;125.793;535.482;7
13;63.4177;81.8688;6
13;109.743;91.1853;1
13;63.7733;63.7827;3
13;52.0319;52.0369;2
13;66.5221;68.7477;4
13;54.6551;54.6036;9
13;61.711;61.6611;5
13;69.6956;67.3731;9
13;59.1933;60.4686;8
13;48.6781;48.5652;8
13;63.2069;63.1636;8
13;41.8764;41.7789;5
13;114.815;52.065;1
13;58.6174;61.2106;0
13;74.9031;74.8858;4
13;53.8166;53.7683;18
13;58.3221;58.2651;11
13;74.5136;126.194;5
13;58.3881;58.2095;3
13;55.985;55.9745;3
13;84.436;75.7184;2
13;84.5483;79.8581;14
13;64.429;64.5529;8
13;70.1246;60.8414;3
13;92.9554;68.1793;8
13;49.9853;49.9261;0
13;63.8948;73.9541;0
13;57.2249;58.7323;11
13;79.5424;71.2238;1
13;53.4933;65.3049;14
13;206.586;450.099;7
13;70.443;70.3349;8
13;55.6018;55.6023;10
13;71.7185;71.7362;7
13;89.3796;193.452;11
13;114.118;176.936;4
13;64.8461;64.9136;13
13;102.84;95.3561;10
13;90.0957;90.0013;17
13;67.0172;58.5667;2
13;56.843;59.3295;3
13;448.368;75.8221;2
13;79.5022;83.1932;5
13;85.9806;85.868;2
13;78.8551;83.1769;11
13;67.863;75.0971;7
13;45.7383;45.6733;2
13;65.1811;59.2081;0
13;73.2127;70.1576;2
13;95.6697;82.9833;4
13;92.2745;64.7056;3
13;104.476;176.497;8
13;52.6096;53.4394;7
13;77.5879;77.5725;13
14;54.7679;54.5336;2
14;61.3633;61.285;7
14;60.9096;60.8651;9
14;68.9326;68.7654;9
14;176.053;454.337;4
14;58.8274;317.893;1
14;70.0193;68.4758;5
14;68.3849;105.301;4
14;108.922;142.829;8
14;66.0467;69.6725;4
14;60.2139;60.1024;5
14;75.0688;75.0311;7
14;74.6333;74.6335;11
14;64.3952;64.3663;9
14;66.9896;68.4139;21
14;56.5614;56.4292;6
14;106.041;171.09;10
14;105.29;320.916;3
14;71.5124;80.0944;4
14;50.3049;54.6964;1
14;64.9092;74.337;5
14;83.5349;83.5165;6
