n_places;milliseconds;milliseconds_n_at_once;valid_transitions
12;37.6537;39.8766;0
12;57.0946;57.1533;26
12;56.662;60.0721;11
12;60.2364;60.2278;6
12;56.1961;58.6146;20
12;57.7867;57.74;2
12;71.0601;70.187;5
12;62.6509;62.6538;14
12;81.1763;127.135;7
12;244.126;115.972;0
12;53.4902;59.9388;6
12;150.985;311.278;4
12;55.9532;55.9153;6
12;86.1168;86.042;4
12;136.902;124.708;18
12;75.0149;74.4909;10
12;48.6465;47.9703;9
12;118.624;121.515;5
12;48.9858;46.968;2
12;74.8389;69.1739;17
12;67.378;68.8777;8
12;59.8579;72.1692;20
12;70.2357;70.1965;4
12;70.0363;70.1296;2
12;54.914;83.2565;2
12;65.6051;67.1789;8
12;59.3638;60.44;9
12;62.8597;63.1194;10
12;114.716;114.628;5
12;71.2529;64.9383;6
12;61.4445;65.9106;4
12;49.2504;49.2529;7
12;85.4462;75.6183;7
12;57.1726;59.0421;11
12;78.229;78.1997;7
12;76.1183;76.1381;3
12;45.328;39.7753;7
12;69.2223;70.7943;13
12;196.481;359.848;4
12;61.9796;61.9882;5
12;59.1902;59.3717;4
12;61.3747;61.3387;12
12;158.893;161.114;8
12;65.4619;65.4377;8
12;114.673;193.467;8
12;51.0617;51.0262;1
12;57.1749;54.0589;4
12;53.5073;53.9895;3
12;90.7965;65.3408;15
12;62.9661;62.859;8
12;58.9331;58.8829;11
12;349.868;685.648;2
12;91.5582;165.928;3
12;56.5415;56.4342;12
12;53.9873;50.4557;3
12;51.1176;50.3328;10
12;39.5039;39.1344;1
12;55.699;52.0157;3
12;401.317;232.438;2
12;50.0147;49.955;0
12;54.357;54.3696;12
12;71.1459;70.6986;10
12;49.4609;49.3925;15
12;52.8479;62.4348;12
12;115.246;110.041;2
12;67.6732;55.7498;12
12;54.4584;54.3619;4
12;73.5138;71.035;3
12;45.2751;47.0922;15
12;44.4446;44.4042;4
12;132.651;62.9566;8
12;54.3217;54.1175;6
12;70.3035;280.463;2
12;58.3756;78.8304;23
12;58.8833;58.8894;15
12;477.28;136.566;2
12;61.758;61.7277;9
12;155.271;211.858;9
12;65.5635;75.8728;9
12;44.9144;44.8974;13
12;54.6888;54.9696;19
12;52.6692;52.6319;9
12;116.214;280.786;7
12;80.543;89.0921;6
12;163.091;70.5262;21
12;48.6545;49.0996;5
12;72.5117;52.0855;3
12;83.7277;59.6307;19
12;66.2325;65.5266;12
12;84.8533;84.8881;2
12;922.343;96.072;8
12;104.171;109.26;9
12;60.1843;68.7479;5
12;61.1475;61.0803;19
12;71.7879;71.444;12
12;121.495;172.339;5
12;57.4582;58.3702;10
12;72.2411;72.3069;3
13;52.4023;52.4044;3
13;126.799;126.518;5
13;58.1657;58.1359;0
13;90.4873;86.3402;1
13;62.4888;62.4084;16
13;214.799;460.195;0
13;62.2814;62.2784;15
13;61.0325;54.3477;2
13;57.3119;55.301;0
13;74.3496;76.0954;2
13;69.2946;69.2515;4
13;66.478;66.4225;0
13;92.9288;91.7985;5
13;68.7071;68.6486;8
13;66.4877;66.4287;8
13;98.1298;71.6463;7
13;57.4972;59.7625;4
13;42.951;42.2342;1
13;45.423;48.1761;4
13;72.1082;74.725;12
13;131.154;337.937;7
13;424.209;207.562;7
13;62.22;62.1996;4
13;62.0294;60.2862;0
13;112.469;104.703;1
13;63.8678;63.8744;16
13;67.4797;67.436;9
13;263.096;886.98;0
13;90.8598;90.7961;6
13;73.8801;81.3324;1
13;59.6538;62.1169;0
13;63.8245;63.7936;10
13;67.9368;67.9091;3
13;53.0916;53.1315;7
13;74.8872;74.8932;2
13;66.3568;67.7187;4
13;137.477;137.026;18
13;65.6867;65.6356;13
13;54.6892;56.6758;18
13;64.7242;64.6532;23
13;67.1991;67.1568;3
13;56.5483;56.5623;6
13;56.0984;51.8544;2
13;59.5007;60.0105;3
13;91.3876;91.3094;7
13;60.4221;59.8333;13
13;50.1189;50.1049;5
13;214.491;67.1214;15
13;93.2145;373.876;11
13;71.0467;70.9477;9
13;73.638;76.8256;6
13;64.5905;64.5204;12
13;74.3114;74.2366;23
13;67.1482;88.7025;13
13;57.129;65.7627;3
13;75.5509;81.5134;3
13;67.3452;67.3362;13
13;89.6571;177.502;6
13;58.3354;62.5565;2
13;56.7387;68.292;15
13;69.1099;69.1435;6
13;473.871;77.1977;1
13;54.0103;53.9727;8
13;77.1823;77.2061;9
13;67.2725;71.1739;10
13;63.2767;63.3055;18
13;57.988;61.8446;13
13;55.6776;55.6047;10
13;56.0076;58.8942;0
13;77.7488;99.8377;7
13;176.204;932.069;4
13;79.3162;79.2653;5
13;65.8224;66.6734;10
13;54.3517;48.5099;4
13;80.3845;80.3457;13
13;61.2389;61.257;14
13;47.1309;47.0486;5
13;82.2582;81.7505;14
13;73.0182;144.232;5
13;66.9772;59.9481;8
13;68.1998;61.3152;4
13;90.7022;90.7295;2
13;57.7402;57.7647;9
13;69.9295;65.1135;7
13;76.9897;80.3189;7
13;49.3947;49.3998;2
13;48.3825;50.0907;7
13;204.935;188.222;3
13;105.032;169.883;9
13;69.3315;69.3215;16
13;62.5159;62.7103;8
13;60.5733;58.5397;13
13;61.5019;59.7559;0
13;55.3193;55.3036;2
13;59.9356;59.9991;19
13;76.5206;75.8188;7
13;80.891;108.226;4
13;155.264;154.43;4
13;670.747;248.796;8
13;57.8759;57.6126;8
14;645.771;110.017;5
14;52.5439;52.4495;2
14;65.643;65.6683;10
14;63.3517;62.5896;11
14;57.661;54.487;9
14;69.5638;71.5918;4
14;254.534;556.57;2
14;58.7217;58.8447;0
14;60.9661;61.3394;10
14;61.5163;60.7985;15
14;68.2607;55.0757;7
14;65.0534;63.2633;8
14;107.317;103.65;10
